CustomerID,Address,City,Country,Full Name,Reseller ID,State,Zip
AARONFIT0001,"One Microsoft Way, Redmond, WA",Redmond,USA,Aaron Fitz Electrical,USA-ILMO-T1,WA,98052-6399
ADAMPARK0001,"Suite 9876, Indianapolis, IN",Indianapolis,USA,Adam Park Resort,USA-INMI-T2,IN,46206-1391
ADVANCED0001,"456 19th Street S., Chicago, IL",Chicago,USA,Advanced Paper Co.,USA-ILMO-T1,IL,60603-911
ADVANCED0002,"8765 66 Ave., Toronto, ON",Toronto,Canada,Advanced Tech Satellite System,CAN-ONMBSK-T6,ON,M8D 7R5
ALTONMAN0001,"P.O. Box 3343, Detroit, MI",Detroit,USA,Alton Manufacturing,USA-INMI-T2,MI,48233-3343
AMERICAN0001,"789 North Carlton Place, St. Louis, MO",St. Louis,USA,American Science Museum,USA-ILMO-T1,MO,63115
AMERICAN0002,"3456 North Calumet Avenue, Iowa City, IA",Iowa City,USA,American Electrical Contractor,USA-IAKSNE-T3,IA,52240-1827
ASSOCIAT0001,"321 Garden Mall, Lincoln, NE",Lincoln,USA,Associated Insurance Company,USA-IAKSNE-T3,NE,68502-3090
ASTORSUI0001,"987 West Alaska Ave, Gary, IN",Gary,USA,Astor Suites,USA-INMI-T2,IN,46401-3455
ATMORERE0001,"567 W 7th St., Bloomington, IL",Bloomington,USA,Atmore Retirement Center,USA-ILMO-T1,IL,61701-9392
BAKERSEM0001,"789 University Ave, Fort Wayne, IN",Fort Wayne,USA,Baker's Emporium Inc.,USA-INMI-T2,IN,46802-3918
FOURTHCO0001,"345 Industrial Drive, Beatrice, NE",Beatrice,USA,Fourth Coffee,USA-IAKSNE-T3,NE,68350-1010
BERRYMED0001,"Suite 123, Fond Du Lac, WI",Fond Du Lac,USA,Berry Medical Center,USA-MNWI-T4,WI,54935-9990
BOYLESCO0001,"1234 Burke, Melbourne, VIC",Melbourne,Australia,Boyle's Country Inn's,AUSTRALIA-T8,VIC,3000
BREAKTHR0001,"3456 Arbutus St., Montreal, PQ",Montreal,Canada,Breakthrough Telemarketing,CAN-PQMT-T5,PQ,H3R 3T2
CONTOSOL0001,"456 Mineral Point Road, Omaha, NE",Omaha,USA,"Contoso, Ltd.",USA-IAKSNE-T3,NE,68145-2401
