Vendor ID,Vendor Name,Address 1,Address 2,City,State,Zip Code,Credit Limit,Current Balance,Highest Balance,Hold,Vendor Class ID,Vendor Contact
ACETRAVE0001,A Travel Company,123 Riley Street,,Sydney,NSW,2086,Unlimited,6713.27,9612.35,No,AUS-NSW-M,Greg Powell
ADVANCED0001,Advanced Office Systems,678 Sherwood Park South,,Arlington Heights,IL,60004-2922,Unlimited,74938.64,77480.84,No,USA-US-M,Janice Berman
ALLENSON0001,Allenson Properties,543 Washington,,Chicago,IL,60608,Amount,11565.76,11565.76,No,USA-US-M,Doug Allen
AMERICAN0001,AmericaCharge,1234 Allen Street East,,Chicago,IL,60607-0022,Unlimited,22500,24358,No,USA-US-M,Dan Martin
ATTRACTI00001,Attractive Telephone Co.,P.O. Box 9876,,Chicago,IL,60609-9336,Unlimited,86016.41,93831.63,No,USA-US-I,Ford Marks
ASSOCIAT0001,Associated Insurance Inc.,12345 West Pennsylvania Ave.,,Waterville,ME,04901-0001,Unlimited,333.93,3143.03,No,USA-US-M,Wade Tonnesson
AUSTRALIA,AUSTRALIA,,,,,,Unlimited,0,0,No,,
BEAUMONT0001,Beaumont Construction,1234 East Crestview Drive,,Chicago,IL,60607-2321,Unlimited,0,10841.45,No,USA-US-M,Phil Beaumont
BERGERON0001,Bergeron Communications Sol.,876 12 London Ave.,,Montreal,PQ,H8Y 8G5,Unlimited,0,0,No,CAN-ALL-M,Francine M. Gergeron
BLOOMING0001,Bloomington County,5432 West Main,,Chicago,IL,60506-1002,Unlimited,0,0,No,USA-US-M,County Treasurer
BURNETTT0001,Burnett Travel Associates,876 Coventry Ave.,,Auckland,,,Unlimited,10697.38,10697.38,No,NEW-M,Pamela Owen
BUSINESS0001,Business Equipment Center,789 McMillan St,,Toronto,ON,M3E 1R8,Amount,10529.18,10529.18,No,CAN-ALL-M,Beverly Gates
CAPITALP0001,Capital Printed Circuits,12345 Cherry Lane,,Vancouver,BC,V6T 2W4,Unlimited,46826.77,58892.07,No,CAN-ALL-I,Wayne Baunstead
CARLSONS0001,Carlson Specialties,4567 Orchard Lane,,Chicago,IL,60607-3439,Amount,1112.89,1112.89,No,USA-US-M,Wendy Fabin-Carlson
CENTRALC0001,"Central Cellular, Inc.",7654 Hirsten Road,,Houston,TX,77055,Unlimited,7031.81,36450.55,No,USA-US-I,John Carvell
CHICAGOC0001,Chicago City Tax Dept.,"City Hall, Dept. T",876 4th Ave. South,Chicago,IL,60607,Unlimited,0,0,No,USA-US-M,Joe Hedlin
CHICAGOR0001,Chicago Rent-All,P.O. Box 1234,,Chicago,IL,60608-2324,Amount,0,3615.11,No,USA-US-M,Ramzi Naar
